Reviewer,Comment ID,Comment summary,Strategy,Action taken,Primary location,Status / remaining work,Notes
Reviewer 4,General 4,Clarify advantages over BatchServer.,Keep main text concise; put fuller comparison in response.,Introduction distinguishes BatchServer and MBECS briefly and states mBatchNet gap: browser-based microbiome abundance workflow with recent microbiome-specific methods and harmonized diagnostics.,Main Introduction; response letter,Implemented concisely.,Avoid standalone competitor table in main/supplement.
Reviewer 4,General 5,Add output summary so users can locate files such as corrected data.,Implement as output bundle manifest/summary rather than main-text-heavy explanation.,"Download outputs bundle includes output_summary.json, runtime_summary.json, parameter_manifest.json, validation_report.json, figures, tables, logs, and corrected outputs.",Website/server; response letter,Implemented.,Separate from Repro bundle.
Reviewer 4,General 6,Explain why the website supports more methods than those discussed/evaluated; provide comparative results for other methods.,Main text must list all supported methods; case-study figure remains compact. Supplement maps methods. Response explains display choice.,"Summary says 12 supported methods; Features lists all 12: ConQuR, MMUPHin, PLSDA-batch, DEBIAS-M, MetaDICT, ComBat, limma, ComBat-seq, FAbatch, RUV-III-NB, FSQN, BMC. Added missing references. Supplement maps categories.",Main Summary/Features; reference.bib; Supplementary Note 1; response letter,Implemented for full method coverage. Comparative figure remains focused for page/readability.,User explicitly requested all methods in main text; now included.
Reviewer 4,Minor 1,Define CLR before use.,Direct definition in assessment workflow.,Defined centered log-ratio (CLR) and Aitchison distance in main text.,Main Features/Assessment; Supplementary Note 1,Implemented.,
Reviewer 4,Minor 2,Make abbreviation full names available for readers.,Expand supplement and concise main diagnostic grouping.,"Supplementary Note 1 explains PCA, PCoA, NMDS, ANOSIM, PERMANOVA, pRDA, PVCA, alignment, entropy of batch mixing, and silhouette.",Main Features/Assessment; Supplementary Note 1,Implemented.,
Reviewer 4,Minor 3,Correct MBECS capitalization.,Direct text correction.,Changed to MBECS.,Main Introduction; response letter,Implemented.,
Reviewer 5,Comment 1,Summary may imply novel batch-correction method; distinguish software integration from method innovation.,Clarify mBatchNet integrates established methods in web workflow.,Summary now says mBatchNet integrates established methods and 12 supported correction methods; Introduction/Conclusion emphasize workflow/diagnostics/export.,Main Summary/Introduction/Conclusion; response letter,Implemented.,
Reviewer 5,Comment 2,Clarify applicability to shotgun metagenomic datasets.,Conservative scope statement: compatible processed feature tables only; no raw-read processing; no unvalidated shotgun benchmark claim.,Response clarifies mBatchNet accepts compatible taxonomic/functional abundance/count tables derived after upstream profiling; upload guidance/validation states processed feature-table boundary.,Website/server guidance; response letter,Implemented as scope clarification.,Do not claim full shotgun biological validation unless a shotgun benchmark is added.
Reviewer 5,Comment 3,"Explain sparsity, compositionality, zero inflation and why they complicate correction.",Add concise Introduction explanation.,Added sentence explaining uneven feature detection and compositional scaling effects.,Main Introduction; response letter,Implemented.,
Reviewer 5,Comment 4,Clarify “microbiome-oriented methods”.,Make phrase specific.,Changed to “microbiome-oriented batch-effect correction methods”.,Main Introduction; response letter,Implemented.,
Reviewer 5,Comment 5,Clarify why input requirements/parameterization/output differences create practical challenge.,"Describe assumptions and workflow heterogeneity, not just file format.","Main text now explains methods differ in count-like vs transformed inputs, covariate support, and target-label usage.",Main Introduction/Features; response letter,Implemented.,
Reviewer 5,Comment 6,Clarify distinction from MBECS.,Concise main positioning + fuller response explanation.,Introduction distinguishes MBECS as R-package functionality and states mBatchNet browser-based microbiome workflow gap.,Main Introduction; response letter,Implemented.,
Reviewer 5,Comment 7,Provide scalability/performance/runtime/memory constraints.,Add practical server limits and runtime display; avoid exact universal runtime/memory claims without final benchmark.,Upload limits and pre-checks are implemented; correction page reports current-session elapsed time and available average elapsed-time information.,Website/server; response letter,Partially implemented for practical constraints/runtime display; final benchmark table optional/pending.,"If final submission needs more, add measured runtime/memory benchmark under stated hardware."
Reviewer 5,Comment 8,Explain Aitchison distance and why appropriate for compositional microbiome data.,Brief workflow definition in main; expanded supplement.,Main text defines Aitchison as Euclidean distance between CLR-transformed profiles; supplement adds diagnostic context.,Main Features/Assessment; Supplementary Note 1,Implemented.,
Reviewer 5,Comment 9,Clarify Bray-Curtis analyses operate on relative abundances.,Direct workflow definition.,Main text states Bray-Curtis dissimilarity is computed on relative-abundance profiles.,Main Features/Assessment; Supplementary Note 1,Implemented.,
Reviewer 5,Comment 10,Explain how diagnostic methods contribute to evaluation.,Group diagnostics by purpose and interpretation.,"Main text groups diagnostics into ordination, distance-matrix tests/heatmaps, variance partitioning, and neighborhood/embedding metrics; supplement expands interpretation.",Main Features/Assessment; Supplementary Note 1; response letter,Implemented.,
